"Customer","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Churned","Pred_Prob","Risk_Level"
15,57,"F",2,"Graduate","Married","Less than $40K",48,5,2,2,2436,680,1756,1.19,1570,29,0.611,0.279,0,0.478962419393833,"Medium"
16,44,"M",4,"Unknown","Unknown","$80K - $120K",37,5,1,2,4234,972,3262,1.707,1348,27,1.7,0.23,0,0.518462425954417,"High"
17,48,"M",4,"Post-Graduate","Single","$80K - $120K",36,6,2,3,30367,2362,28005,1.708,1671,27,0.929,0.078,0,0.460554636297439,"Medium"
18,41,"M",3,"Unknown","Married","$80K - $120K",34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095,0,0.49674584116197,"Medium"
19,61,"M",1,"High School","Married","$40K - $60K",56,2,2,3,3193,2517,676,1.831,1336,30,1.143,0.788,0,0.214330006858909,"Low"
20,45,"F",2,"Graduate","Married","Unknown",37,6,1,2,14470,1157,13313,0.966,1207,21,0.909,0.08,0,0.632106762502771,"High"
21,47,"M",1,"Doctorate","Divorced","$60K - $80K",42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086,0,0.202266049830023,"Low"
22,62,"F",0,"Graduate","Married","Less than $40K",49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0,1,0.898031892947321,"Very High"
23,41,"M",3,"High School","Married","$40K - $60K",33,4,2,1,4470,680,3790,1.608,931,18,1.571,0.152,0,0.629254891449838,"High"
24,47,"F",4,"Unknown","Single","Less than $40K",36,3,3,2,2492,1560,932,0.573,1126,23,0.353,0.626,0,0.338636845834682,"Medium"
25,54,"M",2,"Unknown","Married","$80K - $120K",42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0,0,0.78945922976335,"Very High"
26,41,"F",3,"Graduate","Single","Less than $40K",28,6,1,2,7768,1669,6099,0.797,1051,22,0.833,0.215,0,0.578759207789906,"High"
27,59,"M",1,"High School","Unknown","$40K - $60K",46,4,1,2,14784,1374,13410,0.921,1197,23,1.3,0.093,0,0.570520468271569,"High"
28,63,"M",1,"Unknown","Married","$60K - $80K",56,3,3,2,10215,1010,9205,0.843,1904,40,1,0.099,0,0.286804454345122,"Medium"
29,44,"F",3,"Uneducated","Single","Unknown",34,5,2,2,10100,0,10100,0.525,1052,18,1.571,0,0,0.772135316947283,"Very High"
30,47,"M",4,"High School","Married","$40K - $60K",42,6,0,0,4785,1362,3423,0.739,1045,38,0.9,0.285,0,0.0907986659291399,"Low"
31,53,"M",3,"Unknown","Married","$80K - $120K",33,3,2,3,2753,1811,942,0.977,1038,25,2.571,0.658,0,0.370440510491078,"Medium"
32,53,"M",2,"Uneducated","Married","$60K - $80K",48,2,5,1,2451,1690,761,1.323,1596,26,1.6,0.69,0,0.192608760344871,"Low"
33,41,"M",4,"Graduate","Married","$60K - $80K",36,4,1,2,8923,2517,6406,1.726,1589,24,1.667,0.282,0,0.524176061729047,"High"
34,53,"F",2,"College","Married","Less than $40K",38,5,2,3,2650,1490,1160,1.75,1411,28,1,0.562,0,0.403197422676056,"Medium"
35,58,"M",0,"Graduate","Married","$80K - $120K",49,6,2,2,12555,1696,10859,0.519,1291,24,0.714,0.135,0,0.553050103515632,"High"
36,55,"F",1,"College","Single","Less than $40K",36,4,2,1,3520,1914,1606,0.51,1407,43,0.483,0.544,0,0.0546770467617609,"Low"
37,55,"F",3,"Graduate","Married","Less than $40K",36,6,2,3,3035,2298,737,1.724,1877,37,1.176,0.757,0,0.157913226909618,"Low"
38,42,"F",4,"High School","Married","Less than $40K",36,2,3,3,15433,0,15433,0.865,966,22,1.2,0,0,0.731471369812234,"High"
39,57,"F",1,"Graduate","Unknown","$40K - $60K",49,3,3,2,3672,886,2786,1.32,1464,28,0.556,0.241,0,0.504770919327257,"High"
40,66,"F",0,"Doctorate","Married","Unknown",56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077,1,0.837904577929753,"Very High"
41,45,"M",3,"Graduate","Single","$80K - $120K",41,2,2,2,32426,578,31848,1.042,1109,28,0.474,0.018,0,0.287523155205637,"Medium"
42,51,"M",2,"Unknown","Married","$40K - $60K",44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355,0,0.190813286877933,"Low"
43,50,"F",1,"College","Single","$40K - $60K",43,3,2,3,17304,2517,14787,1.449,1756,33,1.2,0.145,0,0.432380081647052,"Medium"
44,49,"M",3,"High School","Married","$60K - $80K",37,5,2,1,3906,0,3906,1.214,1756,32,1,0,0,0.485141940693738,"Medium"
45,38,"F",4,"Graduate","Single","Unknown",28,2,3,3,9830,2055,7775,0.977,1042,23,0.917,0.209,0,0.648107698029458,"High"
46,49,"M",4,"Uneducated","Single","$80K - $120K",30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0,0,0.416978287238958,"Medium"
47,56,"M",2,"Doctorate","Married","$60K - $80K",45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626,0,0.146626981239028,"Low"
48,59,"M",1,"Doctorate","Married","$40K - $60K",52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793,0,0.214185914944449,"Low"
49,46,"M",3,"High School","Married","$80K - $120K",40,4,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074,0,0.549233042458096,"High"
50,52,"M",1,"College","Single","$80K - $120K",40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259,0,0.129421175417263,"Low"
51,52,"F",3,"Unknown","Married","Less than $40K",41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591,0,0.277411942893734,"Medium"
52,54,"F",1,"Graduate","Married","Less than $40K",40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,1,0.333278656405819,"Medium"
53,66,"F",0,"High School","Married","Less than $40K",54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687,0,0.115882441452791,"Low"
54,49,"M",2,"Unknown","Married","$120K +",36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127,0,0.106120669166923,"Low"
55,56,"M",2,"Graduate","Married","$120K +",36,1,3,3,15769,0,15769,1.041,602,15,0.364,0,1,0.822323633354835,"Very High"
56,49,"F",4,"Graduate","Unknown","Less than $40K",36,6,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667,0,0.146860377570926,"Low"
57,49,"F",3,"Graduate","Single","Less than $40K",36,2,2,0,2802,2363,439,0.75,1295,40,0.6,0.843,0,0.0198324100696866,"Low"
58,56,"M",2,"Uneducated","Married","$40K - $60K",50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422,0,0.456514305225967,"Medium"
59,44,"F",5,"Graduate","Married","Unknown",35,4,1,2,6273,978,5295,2.275,1359,25,1.083,0.156,0,0.596447669150685,"High"
60,42,"M",2,"High School","Single","$60K - $80K",34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525,0,0.419987437939929,"Medium"
61,55,"M",3,"Unknown","Married","$80K - $120K",47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587,0,0.242944591799165,"Low"
62,48,"M",2,"Graduate","Married","$60K - $80K",35,2,4,4,34516,0,34516,0.763,691,15,0.5,0,1,0.755574396634499,"Very High"
63,39,"M",1,"High School","Divorced","$60K - $80K",33,5,3,3,5926,1251,4675,0.944,1316,28,1.154,0.211,0,0.601724176208282,"High"
64,44,"M",4,"Post-Graduate","Single","$120K +",32,2,4,2,23957,2102,21855,0.997,1276,26,0.733,0.088,0,0.396489833394445,"Medium"
65,53,"M",2,"High School","Single","$120K +",44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111,0,0.568044646486622,"High"
66,51,"M",4,"Uneducated","Single","$80K - $120K",38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044,0,0.390606715647126,"Medium"
67,57,"M",2,"College","Married","$60K - $80K",52,5,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276,0,0.379538960664742,"Medium"
68,44,"F",2,"Uneducated","Single","Less than $40K",20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704,0,0.291137145012612,"Medium"
69,49,"M",2,"Graduate","Married","$60K - $80K",32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656,0,0.528991301923587,"High"
70,50,"M",2,"Doctorate","Married","$80K - $120K",38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053,0,0.629377374142578,"High"
71,51,"M",4,"Graduate","Single","$120K +",42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051,0,0.149504810363297,"Low"
72,55,"F",2,"Graduate","Married","Less than $40K",42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467,0,0.300496666068085,"Medium"
73,54,"M",1,"Graduate","Unknown","$60K - $80K",43,4,2,3,2910,2030,880,0.769,1256,21,0.4,0.698,0,0.460191552571151,"Medium"
74,42,"M",5,"Uneducated","Married","$80K - $120K",37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067,0,0.238692319003986,"Low"
75,44,"M",1,"College","Single","$60K - $80K",35,3,3,3,24312,1932,22380,1.312,1341,24,1.182,0.079,0,0.573817120115246,"High"
76,53,"M",2,"Graduate","Single","$80K - $120K",36,5,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287,0,0.317208113634236,"Medium"
77,44,"F",4,"Graduate","Single","Less than $40K",36,6,4,2,7000,2517,4483,0.475,1112,23,1.875,0.36,0,0.466419340007887,"Medium"
78,37,"F",3,"Uneducated","Single","Less than $40K",29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256,0,0.0616415887436135,"Low"
79,49,"M",3,"Graduate","Divorced","$60K - $80K",30,6,1,2,2536,1823,713,0.703,1468,23,0.353,0.719,0,0.31152067514919,"Medium"
80,47,"M",2,"Graduate","Married","$80K - $120K",38,6,3,2,28904,1899,27005,0.85,1334,35,0.4,0.066,0,0.185831086495476,"Low"
81,47,"M",3,"Graduate","Married","$60K - $80K",37,4,4,0,8567,1695,6872,1.242,1457,41,1.412,0.198,0,0.0857852992921573,"Low"
82,44,"M",1,"Unknown","Unknown","$120K +",36,6,2,2,34516,1533,32983,0.924,1603,29,0.526,0.044,0,0.27381965686694,"Medium"
83,55,"F",4,"Unknown","Married","$40K - $60K",45,2,4,3,2158,0,2158,0.585,615,12,0.714,0,1,0.924705992768193,"Very High"
84,59,"F",1,"Graduate","Married","Unknown",52,2,3,3,10133,1417,8716,0.383,1068,20,0.818,0.14,0,0.751226966685708,"Very High"
85,53,"M",1,"Graduate","Divorced","$80K - $120K",35,5,4,2,34516,1219,33297,1.129,1590,27,2,0.035,0,0.319792813840557,"Medium"
86,52,"M",2,"Graduate","Married","$60K - $80K",47,5,3,0,3085,1910,1175,0.921,1531,35,0.667,0.619,0,0.0646992585292916,"Low"
87,53,"M",2,"High School","Single","$120K +",35,4,2,1,19040,2056,16984,0.607,1212,31,0.722,0.108,0,0.223614595115339,"Low"
88,43,"F",3,"Uneducated","Single","Less than $40K",35,5,2,3,4026,0,4026,0.483,1237,32,0.6,0,0,0.663062882948473,"High"
89,44,"M",3,"High School","Single","$60K - $80K",31,4,3,1,12756,837,11919,1.932,1413,14,1.8,0.066,0,0.725718183316397,"High"
90,57,"M",2,"Unknown","Married","$120K +",45,5,3,3,5266,0,5266,1.702,1516,29,1.636,0,0,0.737854414092245,"High"
91,51,"F",2,"High School","Single","Less than $40K",36,3,2,2,9930,0,9930,0.731,1276,21,1.333,0,0,0.735630184063566,"High"
92,49,"M",4,"High School","Single","$80K - $120K",38,4,3,0,31302,1953,29349,0.875,1564,35,2.182,0.062,0,0.0795199752878887,"Low"
93,45,"M",1,"Graduate","Single","$40K - $60K",36,4,4,3,6576,0,6576,0.579,1465,34,0.619,0,0,0.610146362998873,"High"
94,53,"M",0,"Graduate","Single","$80K - $120K",42,5,4,1,2664,2037,627,0.85,1286,29,0.933,0.765,0,0.110000987015439,"Low"
95,45,"F",3,"Unknown","Married","Unknown",28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963,0,0.22126659130603,"Low"
96,64,"M",1,"Graduate","Married","Less than $40K",52,6,4,3,1709,895,814,1.656,1673,32,0.882,0.524,0,0.37137589604663,"Medium"
97,45,"M",3,"Graduate","Married","$40K - $60K",35,5,4,2,3454,1200,2254,0.597,1313,30,0.304,0.347,0,0.368532104687735,"Medium"
98,53,"M",3,"Doctorate","Married","$40K - $60K",35,5,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45,0,0.127128229794519,"Low"
99,56,"M",3,"College","Married","$120K +",50,3,2,0,9689,2250,7439,0.576,1158,19,0.727,0.232,0,0.391183216894986,"Medium"
100,47,"M",2,"Unknown","Married","$80K - $120K",37,2,3,3,5449,1628,3821,0.696,836,18,0.385,0.299,1,0.727438703377576,"High"
101,49,"F",3,"College","Single","Unknown",43,4,4,0,23032,1960,21072,0.619,1289,22,1,0.085,0,0.284457326601683,"Medium"
102,41,"F",3,"Unknown","Married","Unknown",34,5,3,3,34516,2053,32463,1.034,1487,26,0.733,0.059,0,0.429036497326418,"Medium"
103,53,"M",3,"Graduate","Married","$120K +",34,6,2,2,2940,1264,1676,0.562,1259,33,0.5,0.43,0,0.254530246627248,"Medium"
104,44,"F",2,"Graduate","Single","Less than $40K",32,3,3,3,3031,1879,1152,0.788,1298,15,1.5,0.62,0,0.663045236866847,"High"
105,44,"M",3,"High School","Unknown","$60K - $80K",25,3,3,0,1862,0,1862,0.883,1226,34,0.789,0,0,0.296202422488309,"Medium"
106,43,"F",4,"Post-Graduate","Married","Less than $40K",33,2,3,3,8358,926,7432,0.762,1566,37,0.542,0.111,0,0.446297538400722,"Medium"
107,53,"M",2,"Post-Graduate","Single","$120K +",36,6,1,2,34516,931,33585,0.828,1022,21,1.1,0.027,0,0.408074726202701,"Medium"
108,44,"M",1,"Uneducated","Married","$60K - $80K",36,5,2,3,14450,2440,12010,1.283,1235,30,0.667,0.169,0,0.469746801899603,"Medium"
109,62,"F",1,"Unknown","Married","Less than $40K",56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0,0,0.176761393055949,"Low"
110,54,"M",4,"Unknown","Divorced","$120K +",36,6,3,2,33791,1960,31831,0.618,1047,31,0.824,0.058,0,0.195272447098285,"Low"
111,57,"M",4,"Graduate","Married","$60K - $80K",39,4,3,0,8466,1886,6580,0.56,1342,32,0.391,0.223,0,0.170751805925846,"Low"
112,42,"M",3,"Unknown","Married","$60K - $80K",36,5,3,3,15088,865,14223,0.939,1107,21,1.625,0.057,0,0.73412654493645,"High"
113,42,"M",4,"High School","Divorced","$60K - $80K",36,5,1,2,3263,1674,1589,0.588,1251,35,0.346,0.513,0,0.177674713074476,"Low"
114,54,"F",0,"Uneducated","Married","Less than $40K",36,2,2,2,1494,706,788,1.674,1305,24,3,0.473,0,0.448741518115191,"Medium"
115,48,"M",3,"Graduate","Single","$80K - $120K",35,6,1,0,13551,1294,12257,0.791,1388,37,1.056,0.095,0,0.125115472229505,"Low"
116,49,"M",1,"Graduate","Single","$80K - $120K",36,6,2,2,18886,895,17991,1.826,1235,18,1.571,0.047,0,0.675002005446673,"High"
117,52,"M",3,"High School","Unknown","$80K - $120K",48,3,2,0,11976,1273,10703,1.024,2089,36,1.118,0.106,0,0.182251975188049,"Low"
118,50,"M",3,"High School","Single","$80K - $120K",39,4,1,4,9964,1559,8405,1.873,1626,25,0.786,0.156,0,0.783296597084589,"Very High"
119,49,"M",1,"Doctorate","Married","$60K - $80K",36,4,6,3,24159,1196,22963,0.712,1111,24,1,0.05,0,0.572116832298696,"High"
120,53,"F",2,"High School","Married","Less than $40K",44,3,2,3,5362,1901,3461,0.816,1553,38,1,0.355,0,0.294536697750587,"Medium"
121,50,"M",2,"Graduate","Single","$120K +",36,3,2,2,34516,1023,33493,1.004,1064,13,0.625,0.03,0,0.607917863448268,"High"
122,55,"F",1,"Doctorate","Married","Less than $40K",36,4,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615,0,0.10107629617599,"Low"
123,53,"M",1,"High School","Married","$80K - $120K",47,3,2,2,12262,1836,10426,1.584,1659,38,1.533,0.15,0,0.257002451577447,"Medium"
124,47,"F",3,"High School","Single","$40K - $60K",41,4,3,3,3788,1540,2248,0.566,1594,47,0.382,0.407,0,0.138345179129737,"Low"
125,55,"M",2,"College","Single","$120K +",42,2,3,2,34516,1527,32989,0.526,1268,42,0.355,0.044,0,0.081690780981888,"Low"
126,47,"M",3,"Graduate","Single","$60K - $80K",36,4,2,2,2926,0,2926,0.676,1304,24,0.846,0,0,0.74640147875891,"High"
127,58,"M",4,"Graduate","Single","$120K +",52,6,1,0,32090,0,32090,0.567,1368,30,0.364,0,0,0.130981683226146,"Low"
128,53,"M",2,"Graduate","Married","$80K - $120K",41,3,3,2,11669,2227,9442,0.622,720,23,0.353,0.191,1,0.488460986262948,"Medium"
129,52,"M",2,"High School","Single","$40K - $60K",45,3,1,2,13532,1300,12232,0.846,1521,29,1.417,0.096,0,0.468434025272673,"Medium"
130,50,"F",1,"Uneducated","Unknown","Less than $40K",36,4,2,2,11888,2090,9798,0.7,1137,30,0.765,0.176,0,0.368642306288829,"Medium"
131,42,"F",1,"Graduate","Married","Less than $40K",36,5,1,2,2393,1985,408,0.788,978,16,0.778,0.83,0,0.351805245251235,"Medium"
132,43,"M",4,"Unknown","Married","$40K - $60K",39,5,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412,0,0.624224267151882,"High"
133,57,"M",4,"Graduate","Married","$80K - $120K",46,3,2,3,19270,1662,17608,1.186,1565,28,1.545,0.086,0,0.554773066262812,"High"
134,52,"M",1,"Graduate","Married","$80K - $120K",43,3,1,4,3710,2517,1193,1.541,1578,34,0.7,0.678,0,0.304559792077377,"Medium"
135,47,"M",2,"Doctorate","Single","Less than $40K",37,2,1,3,3235,797,2438,0.541,1493,32,1,0.246,0,0.529775784414212,"High"
136,44,"F",3,"Graduate","Single","$40K - $60K",38,3,1,0,11749,788,10961,0.688,1178,27,0.929,0.067,0,0.296623138899767,"Medium"
137,53,"M",2,"High School","Divorced","$60K - $80K",36,5,3,2,7753,2100,5653,0.839,991,26,0.733,0.271,0,0.433337797261778,"Medium"
138,45,"M",4,"College","Divorced","$60K - $80K",40,5,1,0,10408,1186,9222,1.689,2560,42,1.211,0.114,0,0.136112924231802,"Low"
139,63,"F",1,"College","Married","Unknown",36,6,2,3,3967,1568,2399,1.236,1657,29,1.231,0.395,0,0.506523999574032,"High"
140,39,"F",2,"Post-Graduate","Single","Less than $40K",27,4,2,2,6205,2517,3688,0.939,1204,19,0.727,0.406,0,0.552901421431182,"High"
141,48,"F",5,"High School","Married","Less than $40K",38,1,3,3,8025,0,8025,0.654,673,18,0.8,0,1,0.837939554682598,"Very High"
142,51,"M",1,"Unknown","Single","$120K +",42,6,2,3,9036,2327,6709,0.649,1131,18,0.636,0.258,0,0.740369975170632,"High"
143,54,"M",4,"Graduate","Married","$80K - $120K",34,2,3,2,14926,2517,12409,1.996,1576,25,1.5,0.169,0,0.504908831331036,"High"
144,59,"F",1,"Graduate","Single","Less than $40K",36,3,2,3,6335,1128,5207,0.397,1217,20,0.667,0.178,0,0.776674486420385,"Very High"
145,59,"M",1,"College","Single","$60K - $80K",53,2,3,3,14979,0,14979,0.71,530,10,1,0,1,0.885064182393629,"Very High"
146,48,"F",4,"Uneducated","Married","Less than $40K",38,3,2,3,2732,0,2732,0.76,739,16,0.455,0,1,0.893957835054103,"Very High"
147,41,"F",2,"Graduate","Single","Less than $40K",32,6,3,2,2250,2117,133,1.162,1617,31,2.875,0.941,0,0.104006257488889,"Low"
148,55,"M",2,"Graduate","Married","$120K +",50,3,2,0,10916,1536,9380,1.317,1592,34,1,0.141,0,0.173648639568627,"Low"
149,47,"F",4,"Graduate","Married","Unknown",36,4,1,3,5349,1228,4121,0.728,1343,30,1.308,0.23,0,0.549269482480047,"High"
150,41,"M",2,"High School","Married","$80K - $120K",24,4,1,3,9366,1104,8262,0.572,1303,39,0.625,0.118,0,0.354966932472957,"Medium"
151,40,"M",3,"High School","Single","$80K - $120K",28,5,1,0,21617,0,21617,1.047,1351,22,0.467,0,0,0.358291463316062,"Medium"
152,68,"M",1,"Graduate","Married","Unknown",56,5,2,3,13860,1652,12208,1.255,1910,32,1.909,0.119,0,0.534304587468214,"High"
153,50,"F",1,"Graduate","Single","$40K - $60K",31,2,2,3,18386,0,18386,0.868,1298,22,0.571,0,0,0.730602646913102,"High"
154,47,"M",4,"Uneducated","Single","$60K - $80K",41,6,2,2,2405,1540,865,0.469,1087,29,1.231,0.64,0,0.210362493473181,"Low"
155,53,"F",1,"College","Married","Less than $40K",47,4,2,3,2154,930,1224,2.121,1439,26,1.364,0.432,0,0.554084555933354,"High"
156,42,"F",5,"Unknown","Married","$40K - $60K",36,3,3,3,2038,0,2038,0.786,1238,28,0.75,0,0,0.764206223785606,"Very High"
157,48,"F",4,"High School","Single","$40K - $60K",38,6,1,3,8135,0,8135,1.373,1716,29,0.812,0,0,0.726817007566918,"High"
158,49,"M",1,"Doctorate","Married","$120K +",38,6,1,3,9364,618,8746,0.554,1099,27,0.8,0.066,0,0.660883010900154,"High"
159,44,"F",2,"Uneducated","Married","Unknown",35,4,3,2,32643,0,32643,1.3,1058,24,2.429,0,0,0.380476336512486,"Medium"
160,43,"F",4,"Graduate","Divorced","Less than $40K",34,2,3,1,3195,1954,1241,0.971,1285,29,0.706,0.612,0,0.157279238456947,"Low"
161,56,"M",0,"High School","Married","$80K - $120K",43,5,2,1,2852,1024,1828,1.009,1651,28,1,0.359,0,0.33607789511566,"Medium"
162,59,"F",1,"College","Single","Unknown",36,2,3,3,4224,1305,2919,0.852,1152,31,0.824,0.309,0,0.461414621534139,"Medium"
163,46,"M",1,"Uneducated","Married","$60K - $80K",36,3,2,2,20459,2071,18388,1.248,1767,38,2.167,0.101,0,0.217769003867803,"Low"
164,47,"F",4,"Unknown","Divorced","Less than $40K",41,6,5,3,3482,2114,1368,0.508,1039,24,0.263,0.607,0,0.420822409286832,"Medium"
165,50,"F",4,"Uneducated","Married","$40K - $60K",40,5,2,3,3065,1570,1495,1.077,1130,28,1.333,0.512,0,0.404077874099632,"Medium"
166,51,"F",3,"Uneducated","Married","Less than $40K",43,3,1,2,2185,1761,424,0.682,1645,30,0.429,0.806,0,0.160950800015058,"Low"
167,47,"F",3,"Uneducated","Married","Less than $40K",36,4,1,0,1611,746,865,0.993,1413,29,0.706,0.463,0,0.167922292702696,"Low"
168,58,"F",4,"Uneducated","Married","Less than $40K",47,3,3,3,2822,2173,649,1.456,1218,23,2.286,0.77,0,0.359364218674919,"Medium"
169,46,"M",5,"Graduate","Single","$80K - $120K",33,6,3,3,32975,2517,30458,0.658,597,17,0.7,0.076,1,0.56585892688713,"High"
170,53,"M",3,"High School","Married","$60K - $80K",47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0,0,0.201274514883193,"Low"
171,45,"F",4,"Uneducated","Divorced","Unknown",36,4,3,3,15875,1719,14156,0.86,1592,37,1.467,0.108,0,0.362165487893465,"Medium"
172,52,"F",1,"High School","Married","Less than $40K",45,6,3,3,6703,893,5810,0.567,1388,28,0.75,0.133,0,0.65217489438381,"High"
173,53,"M",2,"Unknown","Married","$80K - $120K",36,2,2,1,3212,0,3212,0.713,757,20,0.25,0,1,0.679739100066004,"High"
174,50,"M",2,"High School","Married","$80K - $120K",45,3,1,3,34516,1260,33256,0.588,1504,34,0.789,0.037,0,0.26565861743264,"Medium"
175,41,"F",3,"High School","Married","$40K - $60K",36,4,1,2,9797,1434,8363,0.644,1503,34,0.478,0.146,0,0.355626803835812,"Medium"
176,45,"F",5,"Graduate","Divorced","$40K - $60K",36,5,2,2,10400,1777,8623,0.791,1105,28,0.867,0.171,0,0.434445052264207,"Medium"
177,53,"M",3,"Uneducated","Married","$80K - $120K",42,2,1,2,26792,1836,24956,1.432,2398,47,0.88,0.069,0,0.106000896703892,"Low"
178,67,"F",1,"Graduate","Married","Less than $40K",56,4,3,2,3006,2517,489,2.053,1661,32,1,0.837,0,0.121961202147593,"Low"
179,57,"F",2,"Uneducated","Single","$40K - $60K",36,6,3,0,19482,1072,18410,0.706,1421,22,1.444,0.055,0,0.353043399953115,"Medium"
180,59,"F",1,"Uneducated","Married","$40K - $60K",36,4,2,3,3356,985,2371,0.35,999,28,0.556,0.294,0,0.541557318608482,"High"
181,45,"M",2,"Uneducated","Married","$40K - $60K",34,3,2,1,5771,2248,3523,1.791,1387,18,0.8,0.39,0,0.494039948825705,"Medium"
182,51,"M",3,"Graduate","Married","$80K - $120K",36,6,2,3,11106,2107,8999,0.948,1243,24,1,0.19,0,0.642806127194999,"High"
183,59,"F",1,"Uneducated","Married","Less than $40K",54,5,3,0,2890,2001,889,1.334,1860,36,1,0.692,0,0.0556542637587195,"Low"
184,53,"M",1,"Graduate","Married","$60K - $80K",45,6,2,2,3380,1701,1679,0.747,1502,25,1.273,0.503,0,0.401039307480183,"Medium"
185,47,"M",3,"Graduate","Married","$60K - $80K",36,2,1,2,21331,1251,20080,0.949,1460,50,1.083,0.059,0,0.0735474245132881,"Low"
